아아,82,197
카가,49,168
사나,42,148
차차,73,175
자아,77,162
자가,65,185
나다,78,166
카라,98,141
파사,71,179
사가,49,193
마차,72,174
하바,73,140
나가,54,158
마하,41,175
하바,97,172
라바,96,188
나가,48,169
마하,50,153
카사,52,143
마바,42,141
다차,98,183
가마,81,172
바카,74,161
가바,57,142
가나,78,153
타타,95,168
하나,53,197
타아,40,172
사하,74,183
하다,65,197
파가,70,189
카사,41,190
하카,49,163
파나,88,192
나사,79,172
파자,62,177
마다,81,174
라사,53,173
파타,65,193
나나,60,162
나다,67,157
차마,43,150
라파,93,176
차마,43,185
카파,90,165
가사,43,157
다사,67,146
파차,86,154
나가,62,172
바아,76,157
아라,47,140
바바,93,178
차마,77,163
하아,58,160
라라,99,141
차아,60,168
파파,69,191
카파,41,165
하라,71,174
아가,83,198
타타,76,162
가라,97,194
타가,55,195
나바,51,167
마사,51,194
타라,75,182
사자,94,173
자가,56,150
카나,82,164
자자,53,158
라자,49,190
자마,65,159
다차,97,196
아다,80,165
아사,73,186
아라,44,182
자가,91,188
타아,44,152
나나,55,157
자하,52,143
마사,80,153
아카,84,188
타마,54,168
차자,53,197
카파,50,154
아마,71,170
카바,62,195
카하,47,183
카카,93,149
가자,46,166
나라,78,189
바사,90,190
다사,84,152
아라,44,196
아타,83,181
차자,78,143
하하,53,194
아라,54,180
가가,60,188
다파,99,140
바마,58,187
가차,90,183
차다,86,173
카나,93,166
자자,70,188
하사,58,172
나다,55,173
자자,89,162
가아,63,184
다라,80,169
차파,60,151
타차,65,176
하타,42,162
파아,49,186
차자,52,169
가가,40,165
카아,93,197
가라,64,146
사가,80,170
타타,78,153
차카,46,177
자아,94,188
사가,79,189
자나,40,142
파라,68,179
라바,60,180
사하,72,145
바하,76,147
마마,46,195
아카,51,189
타바,66,169
하라,57,181
차나,79,181
라아,76,191
하타,62,183
하카,48,186
아차,56,142
라마,64,176
사바,58,162
카마,83,173
나카,61,147
마나,65,193
파카,65,178
자타,85,191
카아,64,176
아타,92,172
마자,55,161
타타,47,172
다자,89,199
파카,68,150
가나,41,187
다차,54,177
바자,84,181
나다,41,151
가아,84,172
나파,65,195
다마,73,195
카사,46,154
바차,70,172
자아,90,181
나타,98,141
다파,40,146
사마,75,144
파다,46,181
하자,61,179
타가,61,193
나자,89,152
라하,96,160
나다,86,152
파파,59,145
파하,87,169
하사,93,151
바하,49,163
아나,44,191
바아,48,156
자파,43,178
하바,41,187
차나,85,163
라차,87,177
가다,43,155
카마,74,197
마라,40,184
바파,43,159
하나,75,171
라파,70,145
바사,89,183
사다,74,163
아타,87,172
나사,42,171
자타,71,196
바하,48,140
나자,43,172
바다,79,176
마파,70,150
라나,99,185
자타,70,173
카자,71,192
하자,40,158
라아,54,142
타나,57,149
타자,73,184
카아,89,171
마마,66,174
자가,84,170
아타,76,152
사다,60,172
가파,53,162
가아,70,156
아바,83,179
나카,41,185
다파,96,155
파자,72,169
타사,46,162
차마,93,178
나차,72,170
아차,69,160
카카,89,178
아하,85,147
다다,59,169
사하,47,152
하자,97,192
타하,64,191
가가,65,162
사라,56,184
다카,49,157
파아,68,155
타사,66,179
사타,54,167
바아,82,180
카마,86,167
카타,85,159
타차,74,159
가아,57,195
다아,89,191
하가,97,172
다가,99,141
바라,93,150
라타,55,187
차하,76,150
하자,73,181
가하,75,173
라하,52,169
아아,98,194
타자,88,167
카마,54,169
바나,43,151
사차,52,168
바마,92,165
바타,82,197
바가,64,173
자파,51,190
차차,80,155
라마,71,167
나나,95,186
나사,88,142
바가,60,145
타사,64,194
라차,80,149
바자,95,152
마타,79,170
다가,68,187
사타,80,180
파자,99,154
자나,87,169
카다,42,191
파아,81,152
차마,96,185
카바,46,158
차마,58,196
파카,97,154
라가,96,175
파자,44,155
파자,68,173
마차,92,157
라타,54,198
파타,66,174
사가,72,154
아마,48,181
사카,89,142
다카,90,192
나타,88,162
사자,65,182
파카,99,170
사자,42,173
나카,90,182
다파,77,169
자마,95,141
카마,47,141
사카,90,160
나다,98,141
라나,44,152
사사,65,199
마하,85,172
라하,40,179
하가,88,140
카사,40,191
가나,51,145
파타,45,150
라나,56,164
자아,68,175
마바,72,194
타타,84,181
하다,74,188
사가,65,148
마아,54,172
하다,99,142
아다,47,152
다아,97,142
타하,61,157
아바,57,156
나라,81,162
바사,97,172
다라,62,143
아바,96,183
라차,41,170
아카,46,171
파마,85,183
카마,75,182
바사,65,184
라가,80,185
아파,59,163
아카,59,154
하마,45,198
하마,51,158
사나,59,147
사나,87,185
하하,67,158
카바,75,140
마아,69,147
마가,47,152
사하,50,143
아사,59,193
마아,64,172
나다,64,158
마파,45,153
나가,43,163
나하,95,179
나카,83,195
타하,49,180
사차,70,145
마하,44,154
사마,48,164
마자,72,195
바카,79,155
아카,41,196
마타,49,191
아하,90,141
가아,76,175
하자,76,141
아가,86,175
마나,55,163
파차,60,187
자사,50,178
자마,67,183
라카,90,161
파사,65,171
타차,80,191
나다,56,179
다바,86,149
타자,93,173
하하,62,144
타바,41,165
라다,45,197
차가,66,154
가다,84,146
가마,70,158
카라,91,162
사바,74,197
차차,49,160
파하,84,155
파아,40,165
자차,48,156
바차,41,175
아다,76,162
바카,63,188
가타,43,173
마나,96,179
파자,52,156
카사,43,145
자하,85,166
카파,70,170
다하,48,193
타가,73,147
마마,81,157
카나,65,142
나아,63,162
카아,77,159
바마,54,171
사하,71,162
나마,63,145
차가,81,181
나사,66,171
하다,77,140
라마,68,159
사카,55,172
파다,95,145
다하,50,197
파타,49,151
타하,64,142
차파,98,175
차아,93,173
파다,77,198
나차,82,142
타가,41,160
아차,63,146
하자,53,194
나바,75,142
마바,99,149
카카,98,186
차타,78,153
아라,40,178
파파,66,155
다라,59,175
사자,56,143
타라,44,153
나타,49,166
나자,66,174
다나,53,147
카자,70,147
아마,82,152
차나,47,160
하하,88,174
사바,45,172
다자,74,181
사라,49,153
라사,50,163
마타,64,196
아사,68,171
자라,92,175
가사,98,140
사자,56,181
하바,78,147
타라,70,175
사자,80,153
바파,53,153
하바,86,169
자라,68,141
나사,82,146
바아,47,169
자자,87,190
카카,43,191
자가,92,147
바가,93,159
사나,46,171
자바,68,164
바다,44,191
차사,69,182
카마,49,155
카타,86,161
하아,97,166
바나,60,149
라타,67,183
카바,67,143
카라,53,195
아사,86,161
자하,81,179
다파,50,167
마마,55,192
바다,72,168
마가,91,159
가바,74,177
아다,97,193
바나,74,146
차카,57,157
타카,72,143
차바,77,165
카나,93,140
나차,87,146
가카,74,149
가타,60,167
차타,53,189
바타,60,177
차자,48,167
다파,99,178
마가,50,160
가다,93,143
카파,73,172
카아,77,164
가사,62,174
다카,71,156
타다,46,165
파사,93,184
파라,90,190
사마,99,194
차아,73,171
바카,91,177
파하,65,188
다자,71,159
사파,59,162
라마,93,161
바가,97,162
자바,90,145
사사,99,192
아바,76,140
차하,96,175
마바,67,147
차가,74,149
카카,68,199
카파,67,154
자가,90,143
자라,70,146
파하,64,155
라타,97,186
나자,88,167
카자,67,140
하다,59,146
파라,69,159
사파,61,179
카파,58,154
차차,49,193
바다,68,185
나카,86,173
마다,52,184
라타,63,184
라마,55,148
가아,87,156
카타,84,179
사차,85,153
가타,91,196
라차,59,184
하카,83,150
아바,81,195
파차,48,194
카파,61,179
타바,78,181
차차,82,174
차타,46,179
가다,73,190
차차,58,155
카아,62,180
마바,59,195
나마,85,181
아자,68,141
마차,56,190
차자,49,196
하아,89,154
바자,65,171
가카,54,198
다사,97,161
라가,52,149
바다,66,171
타바,65,140
사마,87,183
가자,81,173
사라,54,180
나나,45,194
카카,88,192
타차,94,170
타아,50,177
나바,82,140
라차,54,163
가다,65,166
아자,85,173
타차,47,162
하하,94,161
사나,89,164
타파,92,191
다하,59,177
바자,88,146
자차,43,156
바차,65,177
바다,61,140
사자,81,145
라차,63,179
나차,91,161
파타,59,155
바아,42,147
마하,91,189
나나,88,179
타사,52,168
하나,93,142
나가,85,160
차바,91,176
아나,44,152
자자,50,181
마자,52,142
마사,94,185
파다,67,146
나파,52,153
하자,74,167
사마,61,151
사다,63,148
아라,93,183
가아,72,157
카자,86,191
다사,89,146
자라,41,191
마가,64,155
자나,48,176
카라,94,191
카파,58,183
마사,50,152
사카,47,187
하바,48,179
자카,91,190
라타,49,182
아바,90,160
타바,59,184
하카,68,146
다아,96,197
카파,76,150
바바,42,176
카가,77,145
마자,89,166
하차,91,172
하마,52,159
아마,54,189
아나,77,181
마카,63,152
마아,51,194
마나,41,187
사사,41,142
카마,44,150
바마,51,192
사다,74,179
다아,84,167
사아,62,149
